Year,Country,GDP per capita,Population,Unemployment rate,Continent
2020,"Egypt, Arab Rep.",3571.556907,107465134,7.974,Africa
2020,El Salvador,3960.313892,6292731,5.008,North America
2020,Equatorial Guinea,6198.942519,1596049,9.075,Africa
2020,Eritrea,..,3555868,6.307,Africa
2020,Estonia,23565.17594,1329522,6.956,Europe
2020,Eswatini,3372.904611,1180655,34.232,Africa
2020,Ethiopia,918.6525941,117190911,4.024,Africa
2020,Faroe Islands,62234.96868,52415,,Europe
2020,Fiji,4815.689129,920422,4.623,Oceania
2020,Finland,49169.71934,5529543,7.759,Europe
2020,France,39179.74426,67571107,8.01,Europe
2020,French Polynesia,19185.69777,301920,12.879,Oceania
2020,Gabon,6680.08267,2292573,21.273,Africa
2020,"Gambia, The",704.0304628,2573995,5.858,Africa
2020,Georgia,4300.857013,3722716,11.73,Asia
2020,Germany,46749.47623,83160871,3.856,Europe
2020,Ghana,2176.576218,32180401,3.285,Africa
2020,Gibraltar,..,32709,,Europe
2020,Greece,17617.29151,10698599,15.899,Europe
2020,Greenland,54693.07668,56367,,North America
2020,Grenada,8437.536782,123663,,North America
2020,Guam,34958.13415,169231,6.227,Oceania
2020,Guatemala,4609.897258,16858333,2.953,North America
2020,Guinea,1073.659339,13205153,5.993,Africa
2020,Guinea-Bissau,754.270694,2015828,3.614,Africa
2020,Guyana,6863.074346,797202,15.701,South America
2020,Haiti,1283.141228,11306801,15.56,North America
2020,Honduras,2307.13093,10121763,10.679,North America
2020,"Hong Kong SAR, China",46109.22999,7481000,5.808,Asia
2020,Hungary,16131.95404,9750149,4.25,Europe
2020,Iceland,59023.56635,366463,5.478,Europe
2020,India,1915.551588,1396387127,7.859,Asia
2020,Indonesia,3895.618152,271857970,4.255,Asia
2020,"Iran, Islamic Rep.",2746.419483,87290193,9.687,Asia
2020,Iraq,4250.742908,42556984,15.776,Asia
2020,Ireland,85973.08849,4985382,5.623,Europe
2020,Isle of Man,79530.56232,84046,,Europe
2020,Israel,44846.7916,9215100,4.169,Asia
2020,Italy,31922.91916,59438851,9.164,Europe
2020,Jamaica,4897.264762,2820436,6.501,North America
2020,Japan,40040.76551,126261000,2.809,Asia
2020,Jordan,3998.673138,10928721,19.213,Asia
2020,Kazakhstan,9121.636409,18755666,4.89,Asia
2020,Kenya,1936.250755,51985780,5.621,Africa
2020,Kiribati,1763.155071,126463,,Oceania
2020,"Korea, Dem. People's Rep.",..,25867467,3.029,Asia
2020,"Korea, Rep.",31721.29891,51836239,3.931,Asia
2020,Kosovo,4310.934002,1790133,,Europe
2020,Kuwait,24656.43371,4360444,3.535,Asia
2020,Kyrgyz Republic,1256.929226,6579900,4.63,Asia
2020,Lao PDR,2593.355718,7319399,2.314,Asia
2020,Latvia,18096.20271,1900449,8.098,Europe
2020,Lebanon,5599.957523,5662923,13.235,Asia
2020,Lesotho,910.9349475,2254100,18.351,Africa
2020,Liberia,624.28971,5087584,4.092,Africa
2020,Libya,9872.111144,6653942,19.535,Africa
2020,Liechtenstein,165287.1868,38756,,Europe
2020,Lithuania,20381.85578,2794885,8.487,Europe
2020,Luxembourg,116905.3704,630419,6.773,Europe
2020,"Macao SAR, China",37474.73459,676283,2.566,Asia
2020,Madagascar,462.4042288,28225177,3.246,Africa
2020,Malawi,621.4177725,19377061,5.681,Africa
2020,Malaysia,10164.34443,33199993,4.54,Asia
2020,Maldives,7216.816377,514438,5.404,Asia
2020,Mali,822.9061368,21224040,3.528,Africa
